Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
United States of America,No bachelors,10,6,Front-end Developer,499.0,25.0,170000.0
Turkey,Bachelors,7,3,Front-end Developer,4999.0,25.0,19728.0
Other,Bachelors,9,4,Full-stack Developer,499.0,25.0,24132.0
Ukraine,No bachelors,10,6,Front-end Developer,19.0,25.0,54804.0
United States of America,Bachelors,9,4,Front-end Developer,19.0,25.0,70000.0
Other,Bachelors,13,8,Full-stack Developer,499.0,25.0,42432.0
United States of America,No bachelors,8,2,Front-end Developer,19.0,25.0,40000.0
Netherlands,Bachelors,6,4,Front-end Developer,499.0,18.0,40212.0
Canada,No bachelors,7,7,Full-stack Developer,4999.0,25.0,90758.0
Other,Bachelors,8,4,Front-end Developer,99.0,25.0,15408.0
United Kingdom of Great Britain and Northern Ireland,No bachelors,7,6,Front-end Developer,99.0,25.0,54224.0
Switzerland,No bachelors,11,7,Front-end Developer,99.0,25.0,81319.0
United States of America,Bachelors,22,4,Other,499.0,35.0,85000.0
Germany,Bachelors,6,1,Full-stack Developer,499.0,18.0,64859.0
Other,Bachelors,20,18,Front-end Developer,99.0,35.0,279774.0
Netherlands,No bachelors,35,30,Full-stack Developer,19.0,55.0,62268.0
Canada,No bachelors,12,5,Data Scientist or ML Engr.,99.0,18.0,31750.0
United States of America,No bachelors,6,2,Full-stack Developer,499.0,25.0,100000.0
United States of America,Bachelors,5,3,Other,499.0,18.0,92000.0
Spain,Bachelors,10,4,Front-end Developer,499.0,25.0,34591.0
Switzerland,No bachelors,20,10,Full-stack Developer,499.0,35.0,92500.0
United States of America,No bachelors,15,12,Other,4999.0,25.0,135000.0
United Kingdom of Great Britain and Northern Ireland,Bachelors,9,5,Front-end Developer,99.0,25.0,71093.0
Other,Bachelors,8,5,Front-end Developer,99.0,18.0,42756.0
United States of America,Bachelors,8,4,Front-end Developer,499.0,25.0,150000.0
United States of America,Bachelors,21,19,Front-end Developer,499.0,35.0,65000.0
Spain,Post-grad,25,20,Data Scientist or ML Engr.,4999.0,35.0,64859.0
Other,Bachelors,20,15,Full-stack Developer,499.0,45.0,48644.0
Other,No bachelors,9,6,Front-end Developer,99.0,25.0,2659212.0
