Country,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Age,ConvertedCompYearly
Sweden,Bachelors,8,3,Full-stack Developer,99.0,25.0,42960.0
Sweden,Bachelors,6,3,Front-end Developer,19.0,25.0,52776.0
Sweden,No bachelors,8,2,Front-end Developer,99.0,25.0,42960.0
Sweden,No bachelors,10,2,Full-stack Developer,99.0,35.0,46638.0
Sweden,No bachelors,15,5,Front-end Developer,99.0,25.0,51552.0
Sweden,Bachelors,15,11,Front-end Developer,499.0,25.0,62592.0
Sweden,Bachelors,20,14,Front-end Developer,499.0,35.0,67500.0
Sweden,Bachelors,11,6,Full-stack Developer,9999.0,25.0,61366.0
Sweden,No bachelors,2,1,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,20,8,Front-end Developer,99.0,25.0,63411.0
Sweden,No bachelors,11,5,Other,4999.0,25.0,47868.0
Sweden,Bachelors,30,20,Front-end Developer,4999.0,45.0,55224.0
Sweden,No bachelors,13,8,Front-end Developer,4999.0,25.0,51161.0
Sweden,Bachelors,5,3,Front-end Developer,99.0,25.0,44736.0
Sweden,Bachelors,21,16,Full-stack Developer,19.0,35.0,73644.0
Sweden,No bachelors,3,3,Other,4999.0,25.0,46632.0
Sweden,No bachelors,30,15,Full-stack Developer,99.0,35.0,48360.0
Sweden,No bachelors,15,12,Front-end Developer,499.0,35.0,63816.0
Sweden,Bachelors,12,7,Front-end Developer,4999.0,25.0,47868.0
Sweden,Bachelors,30,25,Software QA,9999.0,45.0,81821.0
Sweden,No bachelors,14,9,Front-end Developer,499.0,25.0,82716.0
Sweden,No bachelors,20,10,Front-end Developer,99.0,35.0,62592.0
Sweden,Post-grad,38,9,Other,19.0,35.0,99408.0
Sweden,Post-grad,21,9,Front-end Developer,99.0,25.0,74355.0
Sweden,No bachelors,15,12,Full-stack Developer,4999.0,35.0,54612.0
Sweden,No bachelors,22,16,Front-end Developer,499.0,25.0,61368.0
Sweden,No bachelors,6,4,Front-end Developer,99.0,35.0,56460.0
Sweden,No bachelors,25,14,Front-end Developer,4999.0,35.0,45516.0
Sweden,No bachelors,23,20,Front-end Developer,99.0,45.0,58908.0
Sweden,No bachelors,8,7,Full-stack Developer,4999.0,35.0,52776.0
Sweden,No bachelors,21,10,Other,499.0,25.0,78552.0
Sweden,No bachelors,11,5,Full-stack Developer,19.0,35.0,49092.0
Sweden,Bachelors,16,3,Front-end Developer,99.0,25.0,35592.0
Sweden,No bachelors,20,12,Front-end Developer,99.0,35.0,57072.0
Sweden,No bachelors,7,2,Front-end Developer,499.0,25.0,49092.0
Sweden,No bachelors,15,10,Full-stack Developer,4999.0,45.0,61368.0
Sweden,No bachelors,39,19,Front-end Developer,99.0,45.0,73644.0
Sweden,No bachelors,12,9,Front-end Developer,4999.0,25.0,103092.0
Sweden,No bachelors,13,5,Full-stack Developer,499.0,25.0,59525.0
Sweden,No bachelors,13,9,Front-end Developer,499.0,25.0,51552.0
Sweden,No bachelors,30,5,Full-stack Developer,4999.0,35.0,49092.0
